Rep_1(ml/l),Sbeox0ML/L,Sbeox1ML/L,Primary Oxygen Serial Number,Secondary Oxygen Serial Number,Slope_Sbeox0,yint_Sbeox0,Trendline_Sbeox0,Slope_Sbeox1,yint_Sbeox1,Trendline_Sbeox1
3.042,3.4004,3.3079,4136,4140,0.924573443664895,-0.05267283310692544,3.0912467047311836,0.9580236887797833,-0.09901582576398604,3.070030734350659
4.554,5.0638,4.9587,4136,4140,0.924573443664895,-0.05267283310692544,4.62918217092337,0.9580236887797833,-0.09901582576398604,4.651536239788326
5.782,6.1656,6.0131,4136,4140,0.924573443664895,-0.05267283310692544,5.647877191153352,0.9580236887797833,-0.09901582576398604,5.661676417237729
5.908,6.3772,6.236,4136,4140,0.924573443664895,-0.05267283310692544,5.843516931832844,0.9580236887797833,-0.09901582576398604,5.875219897466742
6.212,6.6413,6.4857,4136,4140,0.924573443664895,-0.05267283310692544,6.087696778304743,0.9580236887797833,-0.09901582576398604,6.114438412555054
6.911,7.5617,7.3146,4136,4140,0.924573443664895,-0.05267283310692544,6.938674175853912,0.9580236887797833,-0.09901582576398604,6.908544248184618
6.853,7.5578,7.3417,4136,4140,0.924573443664895,-0.05267283310692544,6.935068339423619,0.9580236887797833,-0.09901582576398604,6.93450669015055
6.95,7.6318,7.4067,4136,4140,0.924573443664895,-0.05267283310692544,7.003486774254821,0.9580236887797833,-0.09901582576398604,6.996778229921235
7.218,7.8038,7.5614,4136,4140,0.924573443664895,-0.05267283310692544,7.162513406565183,0.9580236887797833,-0.09901582576398604,7.144984494575468
7.168,7.8221,7.5759,4136,4140,0.924573443664895,-0.05267283310692544,7.17943310058425,0.9580236887797833,-0.09901582576398604,7.158875838062774
7.208,7.9096,7.6186,4136,4140,0.924573443664895,-0.05267283310692544,7.2603332769049285,0.9580236887797833,-0.09901582576398604,7.199783449573671
7.182,7.8707,7.6255,4136,4140,0.924573443664895,-0.05267283310692544,7.224367369946364,0.9580236887797833,-0.09901582576398604,7.206393813026251
7.178,7.8652,7.6529,4136,4140,0.924573443664895,-0.05267283310692544,7.219282216006207,0.9580236887797833,-0.09901582576398604,7.232643662098818
7.342,7.9609,7.6688,4136,4140,0.924573443664895,-0.05267283310692544,7.307763894564937,0.9580236887797833,-0.09901582576398604,7.2478762387504165
7.283,7.9818,7.7505,4136,4140,0.924573443664895,-0.05267283310692544,7.327087479537534,0.9580236887797833,-0.09901582576398604,7.326146774123725
7.316,8.0536,7.7567,4136,4140,0.924573443664895,-0.05267283310692544,7.393471852792673,0.9580236887797833,-0.09901582576398604,7.332086520994159
7.373,8.0732,7.7951,4136,4140,0.924573443664895,-0.05267283310692544,7.411593492288505,0.9580236887797833,-0.09901582576398604,7.368874630643303
7.389,8.1003,7.8143,4136,4140,0.924573443664895,-0.05267283310692544,7.436649432611825,0.9580236887797833,-0.09901582576398604,7.387268685467875
7.478,8.0553,7.84,4136,4140,0.924573443664895,-0.05267283310692544,7.3950436276469045,0.9580236887797833,-0.09901582576398604,7.411889894269515
7.426,8.1257,7.8458,4136,4140,0.924573443664895,-0.05267283310692544,7.460133598080913,0.9580236887797833,-0.09901582576398604,7.4174464316644375
7.541,8.084,7.8839,4136,4140,0.924573443664895,-0.05267283310692544,7.421578885480086,0.9580236887797833,-0.09901582576398604,7.453947134206947
7.424,8.0736,7.886,4136,4140,0.924573443664895,-0.05267283310692544,7.411963321665972,0.9580236887797833,-0.09901582576398604,7.455958983953385
7.504,8.1,7.9105,4136,4140,0.924573443664895,-0.05267283310692544,7.436372060578725,0.9580236887797833,-0.09901582576398604,7.4794305643284895
7.462,8.1242,7.9106,4136,4140,0.924573443664895,-0.05267283310692544,7.4587467379154155,0.9580236887797833,-0.09901582576398604,7.4795263666973675
7.665,8.1604,7.9627,4136,4140,0.924573443664895,-0.05267283310692544,7.492216296576084,0.9580236887797833,-0.09901582576398604,7.5294394008827945
7.439,8.23,8.0067,4136,4140,0.924573443664895,-0.05267283310692544,7.556566608255161,0.9580236887797833,-0.09901582576398604,7.571592443189106
7.491,8.257,8.0111,4136,4140,0.924573443664895,-0.05267283310692544,7.581530091234113,0.9580236887797833,-0.09901582576398604,7.575807747419737
7.5,8.2305,8.0217,4136,4140,0.924573443664895,-0.05267283310692544,7.557028894976993,0.9580236887797833,-0.09901582576398604,7.585962798520801
7.742,8.3666,8.1593,4136,4140,0.924573443664895,-0.05267283310692544,7.682863340659786,0.9580236887797833,-0.09901582576398604,7.7177868580969
7.782,8.4456,8.2309,4136,4140,0.924573443664895,-0.05267283310692544,7.755904642709313,0.9580236887797833,-0.09901582576398604,7.786381354213533
7.758,8.4628,8.2432,4136,4140,0.924573443664895,-0.05267283310692544,7.7718073059403485,0.9580236887797833,-0.09901582576398604,7.798165045585524
6.606,,,4136,4140,0.924573443664895,-0.05267283310692544,,0.9580236887797833,-0.09901582576398604,
5.862,,,4136,4140,0.924573443664895,-0.05267283310692544,,0.9580236887797833,-0.09901582576398604,
